price,latitude,longitude,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,accommodates,bathrooms,bedrooms,beds,availability_30,availability_60,availability_90,availability_365,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,host_is_superhost,host_identity_verified,host_has_profile_pic,instant_bookable,has_availability,host_response_time,room_type,phone,work_email,email,brooklyn,manhattan,queens,bronx,staten_island,host_since_days_since,first_review_days_since,last_review_days_since,no_review,air_conditioning,tv,streaming_services,refrigerator,microwave,wifi,parking,gym,water_view,kitchen,neighbourhood_price
2,40.79632,-73.96369,100.0,73.0,19.0,52.0,15,15,0,0,2,1.0,0.0,1.0,0,0,0,246,30,180,6,1,0,4.67,4.67,4.0,4.83,4.5,4.5,4.5,0.15,0,1,1,0,1,2,3,1,1,1,0,1,0,0,0,1406,1245.0,322.0,0,0,1,0,0,1,1,1,0,0,1,3.020408163265306
1,40.79864984756488,-73.95193128913176,27.0,35.0,14.0,24.0,5,0,4,1,2,1.5,1.0,1.0,29,59,89,269,30,365,0,0,0,4.71744248380612,4.741474201474201,4.679155684610231,4.825063658700023,4.808426401608219,4.719873785323355,4.604910654456109,1.2494527585436677,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,605,1385.667299530936,382.2577618941255,1,0,1,0,1,1,1,1,0,0,1,1.9365351629502572
3,40.71997,-73.9951,100.0,66.0,3.0,7.0,3,3,0,0,4,1.0,3.0,3.0,27,56,84,357,30,365,2,2,0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,0.24,0,1,1,0,1,3,3,1,0,1,0,1,0,0,0,3306,327.0,178.0,0,0,1,0,1,0,1,0,0,0,1,3.927536231884058
3,40.68359551419599,-73.82986280227888,100.0,100.0,1.0,1.0,1,0,1,0,2,1.0,1.0,2.0,10,38,68,343,1,30,190,48,3,4.91,4.87,4.97,4.88,4.94,4.6,4.85,7.0,1,0,1,1,1,3,1,1,0,1,0,0,1,0,0,935,893.0,85.0,0,0,0,0,1,1,1,1,0,0,1,1.127659574468085
2,40.76216,-73.99293,100.0,25.0,2.0,6.0,2,2,0,0,2,1.0,0.0,2.0,0,0,0,216,200,365,32,0,0,4.88,4.91,4.91,4.94,4.94,5.0,4.75,0.33,0,1,1,0,1,1,3,1,0,1,0,1,0,0,0,3128,2989.0,1801.0,0,1,0,0,1,1,1,0,0,0,1,3.134851138353765
1,40.75909,-73.87839,100.0,96.0,1.0,1.0,1,1,0,0,2,1.0,1.0,3.0,0,1,7,240,1,20,234,37,5,4.83,4.88,4.84,4.95,4.97,4.81,4.85,3.04,1,1,1,0,1,3,3,1,0,1,0,0,1,0,0,3828,2388.0,86.0,0,0,0,1,1,1,1,1,0,0,0,1.8888888888888888
5,40.7350726,-74.0008452,99.0,88.0,86.0,122.0,80,80,0,0,4,2.5,2.0,2.0,0,4,34,249,30,365,0,0,0,4.71744248380612,4.741474201474201,4.679155684610231,4.825063658700023,4.808426401608219,4.719873785323355,4.604910654456109,1.2494527585436677,1,1,1,0,1,3,3,1,0,0,0,1,0,0,0,3793,1385.667299530936,382.2577618941255,1,1,1,0,1,1,1,0,0,0,1,4.082644628099174
0,40.65832,-73.94889,99.0,23.0,727.0,1336.0,719,0,719,0,1,2.0,1.0,1.0,0,0,2,277,30,365,0,0,0,4.71744248380612,4.741474201474201,4.679155684610231,4.825063658700023,4.808426401608219,4.719873785323355,4.604910654456109,1.2494527585436677,0,1,1,0,1,3,1,1,0,1,1,0,0,0,0,4488,1385.667299530936,382.2577618941255,1,1,1,0,1,0,1,0,0,0,1,1.792
4,40.75557,-73.99411,95.0,92.0,2.0,5.0,2,1,1,0,1,1.0,1.0,1.0,0,0,0,90,30,150,60,0,0,4.79,4.82,4.93,4.93,4.98,4.82,4.88,0.4,1,1,1,1,1,3,3,1,0,1,0,1,0,0,0,4671,4627.0,491.0,0,1,1,0,1,0,1,0,0,0,1,3.134851138353765
2,40.66106,-73.92277,71.0,50.0,1.0,1.0,1,1,0,0,6,1.0,2.0,2.0,29,59,89,179,30,1125,113,3,0,4.43,4.5,4.4,4.74,4.83,4.31,4.41,1.84,0,1,1,0,1,2,3,1,0,1,1,0,0,0,0,3047,1925.0,402.0,0,0,0,1,1,1,1,1,0,0,1,1.515
