latitude,longitude,host_response_rate,host_acceptance_rate,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,accommodates,bathrooms,bedrooms,beds,availability_365,minimum_nights,maximum_nights,id,host_is_superhost,host_identity_verified,host_has_profile_pic,instant_bookable,has_availability,host_response_time,room_type,phone,work_email,email,brooklyn,manhattan,queens,bronx,staten_island,host_since_days_since,first_review_days_since,last_review_days_since,no_review,air_conditioning,tv,streaming_services,refrigerator,microwave,wifi,parking,gym,water_view,kitchen,neighbourhood_price,availability_short,hlc_short,nor_short,rs_short
40.74462,-73.90452,91.383013414363,78.57919812357986,0,0,6,1.5,3.0,4.0,89,30,90,3917,0,1,1,0,1,0,3,1,0,1,0,0,1,0,0,4219,769.0,434.0,0,0,0,1,1,1,1,1,0,0,1,1.167883211678832,2.1586597930195692,-0.6221142295096964,-0.23219971010845053,1.7517562711858499
40.75340655347738,-73.93499534537,99.0,23.0,719,0,1,3.0,4.0,1.0,364,30,365,1885,0,1,1,0,1,3,1,1,0,1,0,0,1,0,0,4488,1386.2627873819283,382.8981464979505,1,1,1,0,1,0,1,0,0,0,1,2.305555555555556,2.1586597930195692,2.054687110418205,-0.42531618590484027,1.5360234056212424e-15
40.67709,-73.94381,91.383013414363,78.57919812357986,0,0,2,1.0,1.0,1.0,89,30,365,1305,0,1,1,0,1,0,3,1,0,1,1,0,0,0,0,4577,1134.0,755.0,0,1,1,0,0,0,1,0,0,0,1,2.056862745098039,2.1586597930195692,-0.6266771001605067,-0.35565965812411976,1.1748122377988808
40.79576,-73.97157,70.0,37.0,18,0,1,3.0,0.0,1.0,157,30,500,19328,0,1,1,0,1,1,3,1,0,1,0,1,0,0,0,1329,545.0,95.0,0,1,1,0,0,0,1,0,0,0,1,3.109090909090909,-2.144140167936436,-0.439967328762741,-0.3786053843602129,-0.11844893888824953
40.71359,-73.9554,100.0,75.0,0,0,2,1.0,0.0,1.0,113,30,60,16511,0,1,1,0,1,2,3,1,0,1,1,0,0,0,0,3701,3563.0,85.0,0,0,1,0,1,1,1,1,0,0,1,2.80030959752322,-1.2994393290051578,-0.6266771001605067,0.7477507973860258,0.9018433547593772
40.75013944625673,-74.00272134762609,100.0,98.0,0,0,5,1.0,1.0,3.0,212,1,365,9998,0,1,1,0,1,3,3,1,0,1,0,1,0,0,0,1819,417.0,104.0,0,1,1,0,1,0,1,0,0,0,1,3.5669781931464173,-0.7971583902501923,-0.6235440229948086,1.7928928155202746,0.41595980167982916
40.76653,-73.95136,91.383013414363,78.57919812357986,0,0,5,1.0,2.0,2.0,364,30,365,19072,0,1,1,0,1,0,3,1,0,1,0,1,0,0,0,3864,1045.0,688.0,0,1,0,0,1,1,1,1,0,0,1,2.829512893982808,2.2459279930644835,-0.6258474873149049,-0.7440688738089921,0.4957221590165177
40.68443,-73.9223,91.0,99.0,0,0,2,2.5,2.0,2.0,275,2,100,16947,1,1,1,0,1,1,3,1,1,1,1,0,0,0,0,3413,457.0,95.0,0,1,1,0,1,1,1,0,0,0,1,1.83495145631068,-0.8153798349683076,-0.6266771001605067,3.2203354641931012,1.058409163407053
40.80365,-73.95949,100.0,50.0,0,0,2,1.0,0.0,1.0,260,59,364,10530,0,1,1,0,1,2,3,1,0,1,0,1,0,0,0,3303,1492.0,139.0,0,1,1,0,1,0,1,0,0,0,1,1.7234042553191489,-2.144140167936436,-0.5885241922055081,-0.6459104895657519,1.0246731123858261
40.74744334862962,-73.87159042163067,100.0,100.0,0,0,4,1.0,2.0,4.0,159,30,30,296,0,1,1,0,1,1,3,1,0,1,0,0,1,0,0,347,150.0,150.0,0,1,0,0,1,1,1,0,0,0,1,1.2268041237113405,0.41329579212128853,-0.6266771001605067,-0.623947782799724,0.9589331989650949
40.67548215844648,-73.85660368813531,100.0,100.0,0,0,6,1.0,1.0,3.0,347,30,365,15096,0,1,1,0,1,3,3,1,0,0,0,0,1,0,0,885,1386.2627873819283,382.8981464979505,1,1,0,1,0,1,1,1,0,0,0,1.619047619047619,0.6751003922560306,-0.6262622937377058,-0.42531618590484027,1.5360234056212424e-15
40.5806,-74.00215,100.0,100.0,0,0,4,1.0,2.0,2.0,339,30,180,6040,1,1,1,0,1,3,3,1,1,1,1,0,0,0,0,2695,1454.0,159.0,0,1,0,0,0,1,1,1,0,0,1,1.6923076923076923,-0.02304520810328163,-0.6177147275281555,-0.6797429033156324,-0.03262592134210651
40.69244,-73.92516,100.0,86.0,3,0,2,1.5,1.0,2.0,179,30,1125,8223,0,1,1,0,1,3,1,1,0,1,1,0,0,0,0,4439,1386.2627873819283,382.8981464979505,1,1,0,0,0,0,1,0,0,0,1,1.4187604690117253,2.1586597930195692,-0.6229070532622014,-0.42531618590484027,1.5360234056212424e-15
40.72154,-73.99491,100.0,66.0,0,0,2,1.0,1.0,1.0,295,30,365,17600,1,1,1,0,1,2,3,1,0,1,0,1,0,0,0,1301,1386.2627873819283,382.8981464979505,1,0,0,1,1,1,1,0,0,0,1,3.950617283950617,-1.1944139645339316,-0.4168361064080147,-0.42531618590484027,1.5360234056212424e-15
40.71925,-74.00122,98.0,100.0,6,0,2,1.0,0.0,1.0,188,1,365,19869,0,1,1,1,1,3,1,1,0,1,0,1,0,0,0,869,847.0,143.0,0,1,0,0,0,0,1,0,0,0,0,4.311111111111111,0.6364559672360814,-0.6115337691029936,1.5070244441275933,-1.2300245453959953
40.78442,-73.9792,98.0,88.0,3,0,8,2.0,2.0,4.0,355,1,1125,19269,0,1,1,1,1,3,2,1,0,1,0,1,0,0,0,643,1386.2627873819283,382.8981464979505,1,1,1,0,0,0,1,0,1,0,0,3.109090909090909,1.7085487124965089,3.666881546931428,-0.42531618590484027,1.5360234056212424e-15
40.75668775534554,-73.970217098834,98.0,99.0,0,0,4,1.0,1.0,2.0,296,1,1125,10975,0,1,1,1,1,3,2,1,0,1,0,1,0,0,0,643,1386.2627873819283,382.8981464979505,1,1,1,0,1,0,1,0,1,0,0,4.008998875140607,0.2953573353120691,2.6573822544138714,-0.42531618590484027,1.5360234056212424e-15
40.74866,-73.98121,100.0,83.0,0,0,4,1.0,2.0,4.0,236,60,365,5639,0,1,1,0,1,3,3,1,0,1,0,1,0,0,0,3793,925.0,106.0,0,1,1,0,0,0,1,0,0,0,1,3.5,-2.144140167936436,-0.5538264572834029,-0.3953270718593097,0.536116812877871
40.776554,-73.9519402,99.0,71.0,0,0,4,1.0,2.0,2.0,255,30,365,19529,0,1,1,0,1,2,3,1,0,1,0,1,0,0,0,3188,1386.2627873819283,382.8981464979505,1,1,1,0,0,0,1,0,0,0,1,2.829512893982808,-2.144140167936436,0.30397470280803146,-0.42531618590484027,1.5360234056212424e-15
40.71971,-73.99284,100.0,82.0,1,0,2,1.0,1.0,1.0,14,1,1125,10679,1,1,1,0,1,3,1,1,1,1,0,1,0,0,0,3967,1273.0,86.0,0,0,0,1,1,1,1,0,0,0,1,3.330275229357798,-1.710245350382119,-0.6254675076386798,3.5662187545136463,0.9360152192869977
40.6326,-73.91561,12.0,13.0,1,0,1,1.0,2.0,0.0,121,30,365,14694,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,748,1386.2627873819283,382.8981464979505,1,0,1,0,0,0,1,0,0,0,1,3.6666666666666665,-2.144140167936436,-0.6287153009074238,-0.42531618590484027,1.5360234056212424e-15
40.7879956,-73.94858789999999,90.0,93.0,0,0,2,1.0,1.0,2.0,192,5,365,8793,0,1,1,0,1,2,3,1,0,1,0,1,0,0,0,3164,246.0,129.0,0,1,1,0,1,0,1,0,0,0,1,2.0616438356164384,-1.1326807433366266,-0.6258474873149049,-0.06681130791104949,-3.0148528746221936
40.69063951813793,-73.92936174754391,91.383013414363,78.57919812357986,0,0,8,2.5,3.0,4.0,180,30,365,5721,0,1,0,0,1,0,3,1,0,0,1,0,0,0,0,655,1386.2627873819283,382.8981464979505,1,0,0,0,1,1,1,1,0,0,1,1.83495145631068,2.2459279930644835,-0.6139594641755072,-0.42531618590484027,1.5360234056212424e-15
40.78885,-73.97272,100.0,87.0,0,0,3,1.0,0.0,2.0,96,30,1125,16265,0,1,1,0,1,3,3,1,0,1,0,1,0,0,0,2857,1563.0,86.0,0,1,0,0,1,1,1,0,1,0,1,3.109090909090909,-2.144140167936436,-0.22774815640032245,-0.407043621270935,0.10507938462743834
40.82868311310335,-73.9434539526701,91.383013414363,78.57919812357986,0,0,2,1.0,1.0,1.0,307,30,365,93,0,1,1,0,1,0,3,1,0,1,0,1,0,0,0,4203,1386.2627873819283,382.8981464979505,1,1,1,0,0,0,1,0,0,0,1,1.941095890410959,-1.5473025088883288,-0.6266771001605067,-0.42531618590484027,1.5360234056212424e-15
40.76087101286882,-73.96097622727308,96.0,42.0,0,0,2,1.0,1.0,2.0,248,30,365,3278,1,1,1,0,1,3,3,1,0,1,0,1,0,0,0,1950,463.0,104.0,0,1,1,0,1,1,1,0,0,0,1,2.829512893982808,-2.144140167936436,-0.3885678475920727,-0.415219129808051,0.2656210813921676
40.67562553104561,-73.95974025197152,91.0,64.0,11,0,2,4.0,1.0,1.0,364,30,365,884,0,0,1,0,1,3,1,1,0,1,1,0,0,0,0,174,1386.2627873819283,382.8981464979505,1,1,0,0,0,0,1,0,0,0,1,2.056862745098039,2.1586597930195692,-0.5958967468867213,-0.42531618590484027,1.5360234056212424e-15
40.7015762,-73.812889,100.0,80.0,6,0,1,1.5,1.0,1.0,44,30,365,11280,1,1,1,0,1,3,1,1,0,1,0,0,1,0,0,533,353.0,208.0,0,0,0,0,0,1,1,1,0,0,1,1.679245283018868,-0.9983546836055825,-0.6119485755257945,-0.6540859981028679,1.8609766287657916
40.7643934,-73.9895985,100.0,99.0,2,0,3,1.0,1.0,2.0,292,1,365,21235,0,1,1,0,1,3,1,1,0,1,0,1,0,0,0,444,384.0,97.0,0,1,1,0,1,1,1,0,0,0,1,3.1260744985673354,-1.2346243048927157,-0.6225060257645456,0.9057761982266685,0.8683550336124388
40.69411,-73.94215,100.0,90.0,5,0,2,2.5,5.0,1.0,65,30,1125,6313,0,1,1,0,1,3,1,1,0,0,1,0,0,0,0,1090,1077.0,380.0,0,1,0,0,1,1,1,0,0,0,1,1.83495145631068,-2.144140167936436,-0.6157396702455304,-0.6935821671827175,-0.03772907400426967
40.71303,-73.9978,100.0,71.0,0,0,2,1.0,0.0,2.0,61,30,90,16460,0,1,1,0,1,3,3,1,0,1,0,1,0,0,0,3716,1786.0,356.0,0,0,0,1,1,0,1,1,0,0,1,3.0569105691056917,-2.144140167936436,-0.6266771001605067,1.0042215156781997,0.4851551366363886
40.74567,-73.98284,100.0,97.0,25,0,2,0.5,1.0,1.0,268,30,90,5630,0,1,1,1,1,3,1,1,1,1,0,1,0,0,0,2485,1267.0,347.0,0,1,1,0,0,0,1,0,0,0,0,4.008998875140607,-1.2627517924823928,-0.5486287107296314,-0.2991538547275406,0.4850268399509961
40.68651,-73.92284,0.0,100.0,2,0,2,1.0,1.0,1.0,364,30,365,21189,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,3793,1189.0,447.0,0,1,0,0,0,0,1,0,1,0,1,1.83495145631068,2.2459279930644835,-0.622964890176729,-0.6802667313127245,-4.267089817809522
40.75273,-73.90353,100.0,96.0,4,0,2,1.0,1.0,1.0,165,30,365,7256,0,1,1,0,1,2,1,1,0,0,0,0,1,0,0,907,336.0,105.0,0,0,0,0,1,1,1,0,0,0,1,1.167883211678832,-1.7950673677567797,-0.6191159585424655,-0.29745663443370224,1.3416020561606719
40.71964,-73.99067,100.0,96.0,0,0,4,1.0,1.0,2.0,354,1,365,16220,0,1,1,1,1,3,3,1,0,1,0,1,0,0,0,1235,1164.0,147.0,0,1,1,0,0,0,1,0,0,0,1,3.330275229357798,1.8968551928848274,-0.5207879480525013,-0.24915727878700678,0.2474979030227836
40.74502074508715,-73.93920350979285,91.383013414363,100.0,0,0,2,1.0,1.0,1.0,364,30,365,18414,0,1,1,0,1,0,3,1,0,1,0,0,1,0,0,3106,554.0,420.0,0,0,0,0,0,0,0,0,0,0,0,2.305555555555556,2.1586597930195692,-0.6262622937377058,-0.632426567139002,1.6758784387243375
40.75445,-73.99605,74.0,71.0,1,0,6,1.0,3.0,3.0,335,30,365,19613,0,1,1,0,1,1,3,1,0,1,0,1,0,0,0,1158,1386.2627873819283,382.8981464979505,1,1,1,0,1,1,1,1,0,0,1,3.1260744985673354,0.08085524194999154,-0.0776160380853226,-0.42531618590484027,1.5360234056212424e-15
40.68574,-73.73454,100.0,100.0,2,0,2,1.0,1.0,2.0,180,30,365,218,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,3311,1185.0,546.0,0,1,0,0,0,0,1,1,0,0,1,2.129032258064516,2.2459279930644835,-0.6072068875816371,-0.732977244328513,0.5733367996162448
40.74013,-73.82753,91.383013414363,78.57919812357986,1,0,1,1.0,1.0,1.0,365,30,365,22370,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1952,1386.2627873819283,382.8981464979505,1,1,1,0,0,0,1,0,0,0,1,1.303482587064677,2.2459279930644835,-0.6292448234332705,-0.42531618590484027,1.5360234056212424e-15
