price,latitude,longitude,host_acceptance_rate,calculated_host_listings_count_private_rooms,accommodates,bathrooms,bedrooms,beds,availability_365,minimum_nights,maximum_nights,host_is_superhost,host_identity_verified,host_has_profile_pic,instant_bookable,room_type,phone,email,brooklyn,manhattan,queens,bronx,staten_island,host_since_days_since,first_review_days_since,last_review_days_since,no_review,air_conditioning,tv,streaming_services,refrigerator,microwave,wifi,parking,gym,water_view,kitchen,neighbourhood_price,availability_short,hlc_short,nor_short,rs_short,amenities_count,host_responsiveness
4,40.68456,-73.93987,100.0,-0.6931471805599453,4,2.0,2.0,2.0,70,30,1124,1,1,1,0,3,1,1,1,0,0,0,0,3473,2037.0,106.0,0,1,0,1,1,1,1,1,0,0,1,1.83495145631068,0.6408500829275622,-0.6256984701643726,-0.0954715086592012,1.5123217146282788,7,100.0
3,40.6389914845637,-73.96573940369157,98.0,0.4054651081081644,2,1.0,1.0,2.0,324,1,29,1,1,1,0,1,1,1,1,0,0,0,0,437,316.0,83.0,0,1,1,0,0,1,1,1,0,0,1,1.5,-0.3559366419604046,-0.629626217775903,2.5283945893363087,0.7224116405245177,6,300.0
3,40.61881,-74.03238,100.0,0.9162907318741552,2,1.0,0.0,1.0,146,1,29,0,1,1,1,3,1,1,1,0,0,0,0,847,150.0,99.0,0,1,1,0,0,1,1,0,0,0,0,2.8472222222222223,0.9171219086119482,-0.3070274208073968,0.4309089828492452,-0.838323719469446,4,300.0
0,40.67397,-73.95399,23.0,6.578556526327422,1,1.5,4.0,1.0,111,30,365,0,1,1,0,1,1,1,1,0,0,0,0,4488,1386.2627873819283,382.8981464979505,1,0,1,0,1,0,1,0,0,0,1,2.056862745098039,-2.1441096026838764,2.054285085594901,-0.4229570891387559,4.516345807263462e-17,4,297.0
2,40.74718,-73.98539,95.0,-0.6931471805599453,2,1.0,1.0,1.0,241,1,1124,0,1,1,1,2,1,1,0,1,0,0,0,3624,1386.2627873819283,382.8981464979505,1,1,1,0,0,0,1,0,1,0,0,4.008998875140607,-1.263455137425478,0.9354382897301756,-0.4229570891387559,4.516345807263462e-17,4,279.0
2,40.66202,-73.95535,50.0,-0.6931471805599453,6,1.0,2.0,3.0,306,30,1124,1,1,1,0,3,1,1,1,0,0,0,0,3553,2624.0,99.0,0,1,0,0,1,1,1,1,0,0,1,1.7278481012658229,-0.1404238605368024,-0.6262285052953341,0.3966399860306015,0.7259772196771261,6,200.0
1,40.7046405,-73.9338696,88.0,0.4054651081081644,1,1.0,1.0,1.0,46,2,100,0,1,1,0,1,1,1,1,0,0,0,0,3281,165.0,100.0,0,1,1,0,1,1,1,1,0,0,1,2.80030959752322,-0.3557352064909763,-0.629626217775903,1.0863916921976136,1.861010432880839,7,200.0
5,40.777553,-73.9834589,96.0,-0.6931471805599453,2,1.0,1.0,1.0,56,30,1124,0,1,1,1,3,1,1,0,1,0,0,0,2900,1386.2627873819283,382.8981464979505,1,1,1,0,1,1,1,0,1,0,1,3.109090909090909,-2.1441096026838764,8.474601743593935,-0.4229570891387559,4.516345807263462e-17,7,300.0
1,40.652237870891256,-73.95074262933898,100.0,1.252762968495368,2,1.0,1.0,2.0,279,3,29,1,1,1,0,1,1,1,1,0,0,0,0,1164,881.0,96.0,0,0,0,0,0,1,0,1,0,0,0,1.5114503816793894,-1.283442093525746,-0.6228739271052329,2.2843179044065023,0.4588838991403977,2,300.0
1,40.79594,-73.93443,100.0,0.4054651081081644,2,1.5,1.0,1.0,363,30,31,0,1,1,0,1,1,1,0,1,0,0,0,4125,2981.0,411.0,0,1,0,0,1,1,0,0,0,0,1,2.0616438356164384,2.071405955142467,-0.629626217775903,-0.6577800462878072,1.252519691541942,4,0.0
2,40.76103114709306,-73.99164322110978,79.0,5.865050622252324,1,0.0,4.0,1.0,217,30,180,0,1,1,0,1,1,1,0,1,0,0,0,1853,1386.2627873819283,382.8981464979505,1,0,1,0,0,1,1,0,0,0,1,3.1260744985673354,-2.1441096026838764,1.0494181924832249,-0.4229570891387559,4.516345807263462e-17,4,200.0
3,40.75547,-73.92606,100.0,0.4054651081081644,2,1.0,1.0,2.0,288,2,20,1,0,1,1,1,1,1,0,0,1,0,0,3185,1099.0,83.0,0,1,1,0,1,1,1,1,0,0,1,1.6785714285714286,-1.447819011247283,-0.6286819222372388,1.2557575258481417,1.3300787014650854,7,300.0
3,40.6980503969753,-73.94356628688588,99.0,1.5040773967762742,2,1.5,1.0,1.0,248,1,365,0,1,1,1,1,1,1,1,0,0,0,0,2488,195.0,109.0,0,1,1,0,1,1,1,1,0,0,1,1.83495145631068,0.4618682713596715,-0.6170122193236819,1.5129167365028031,-2.5899140656661737,7,297.0
2,40.6923,-73.93579,100.0,-0.6931471805599453,4,1.0,2.0,2.0,334,30,1124,1,1,1,1,3,1,1,1,0,0,0,0,1985,1128.0,116.0,0,1,1,0,1,1,1,1,0,0,1,1.83495145631068,-0.4141985409667084,-0.61297927534797,-0.5198144385467394,1.1651904412631018,7,300.0
3,40.7629644,-73.9920309,82.0,-0.6931471805599453,3,1.0,1.0,1.0,337,30,365,0,1,1,0,3,1,1,0,1,0,0,0,2540,399.0,399.0,0,0,1,0,1,1,1,1,0,0,1,3.1260744985673354,-0.1976861481136972,0.8032445688659415,-0.7178230695550882,-0.8698332621916801,6,300.0
3,40.7707911,-73.95750079999999,82.0,-0.6931471805599453,4,1.0,0.0,2.0,297,30,365,0,1,1,0,3,1,1,0,1,0,0,0,2540,1325.0,105.0,0,1,1,0,1,1,1,1,0,0,1,2.829512893982808,-0.110413374911537,0.8032445688659415,-0.325043638358522,1.3988672347468711,7,300.0
5,40.65758,-73.95432,100.0,-0.6931471805599453,6,2.0,3.0,4.0,179,30,1124,1,1,1,0,3,1,1,1,0,0,0,0,2051,1106.0,195.0,0,0,1,0,1,1,1,1,0,0,1,1.7278481012658229,2.158678728344627,-0.6266427657030368,0.2008584883484172,1.2202274544242142,6,0.0
3,40.716593,-73.9907581,83.0,-0.6931471805599453,2,1.0,1.0,1.0,42,30,365,1,1,1,0,3,1,1,0,1,0,0,0,4730,575.0,116.0,0,0,0,1,1,1,1,0,0,0,1,3.056910569105692,-0.6497045671012407,-0.6249857240722262,-0.5696404810945871,1.408889629754779,5,300.0
4,40.66667,-73.98227,0.0,0.4054651081081644,4,1.0,2.0,2.0,177,30,90,0,0,1,0,1,1,1,1,0,0,0,0,3054,694.0,548.0,0,1,1,0,1,0,1,0,0,0,0,3.0,1.9841331819403063,-0.629626217775903,-0.7323271898641283,1.861010432880839,4,0.0
2,40.77923,-73.98372,82.0,-0.6931471805599453,2,1.0,0.0,1.0,331,30,365,0,1,1,0,3,1,1,0,1,0,0,0,2540,1386.2627873819283,382.8981464979505,1,1,1,0,1,1,1,0,0,0,1,3.109090909090909,-0.540099080312781,0.8032445688659415,-0.4229570891387559,4.516345807263462e-17,6,300.0
0,40.76506,-73.72649,78.57919812357986,-0.6931471805599453,1,1.0,1.0,1.0,358,30,1124,0,0,1,0,0,1,0,0,0,1,0,0,3978,1702.0,1023.0,0,0,0,0,1,0,1,0,0,0,1,0.8,1.635042089131666,-0.6292119573682003,-0.7380622271219061,0.2042646389887507,3,0.0
0,40.80067,-73.95534,100.0,1.252762968495368,1,2.0,1.0,1.0,276,30,365,0,1,1,1,1,1,1,0,1,0,0,0,1991,848.0,127.0,0,1,1,0,1,1,1,1,0,0,1,1.941095890410959,-1.94982606137712,-0.6205710756202019,-0.5001039970216927,0.5742012305455512,7,300.0
1,40.80491,-73.95689,79.0,5.865050622252324,1,0.0,4.0,1.0,363,30,180,0,1,1,1,1,1,1,0,1,0,0,0,1853,1386.2627873819283,382.8981464979505,1,0,1,0,0,1,1,1,0,0,1,1.941095890410959,2.071405955142467,1.0494181924832249,-0.4229570891387559,4.516345807263462e-17,5,200.0
4,40.7866,-73.8392,94.0,0.9162907318741552,5,1.5,2.0,2.0,161,2,365,0,1,1,0,1,1,0,0,0,1,0,0,1814,203.0,99.0,0,1,1,0,0,0,1,0,0,0,1,2.096774193548387,0.5877688107057443,-0.6254215516251626,0.1300191996189448,1.2051563741419384,4,300.0
2,40.76411,-73.99371,44.0,-0.6931471805599453,3,1.0,0.0,1.0,341,30,365,0,1,1,0,3,1,1,0,1,0,0,0,3266,3096.0,437.0,0,1,0,0,0,0,1,0,0,0,1,3.1260744985673354,0.1514049446949434,0.3475885024054619,-0.6825011473162805,-1.406683285850447,3,56.0
