latitude,longitude,host_acceptance_rate,calculated_host_listings_count_private_rooms,accommodates,bathrooms,bedrooms,beds,availability_365,minimum_nights,maximum_nights,id,host_is_superhost,host_identity_verified,host_has_profile_pic,instant_bookable,room_type,phone,email,brooklyn,manhattan,queens,bronx,staten_island,host_since_days_since,first_review_days_since,last_review_days_since,no_review,air_conditioning,tv,streaming_services,refrigerator,microwave,wifi,parking,gym,water_view,kitchen,neighbourhood_price,availability_short,hlc_short,nor_short,rs_short,amenities_count,host_responsiveness
40.74462,-73.90452,78.57919812357986,-0.6931471805599453,6,1.5,3.0,4.0,89,30,90,3917,0,1,1,0,3,1,1,0,0,1,0,0,4219,769.0,434.0,0,0,0,1,1,1,1,1,0,0,1,1.167883211678832,2.158659793019569,-0.6221142295096964,-0.2321997101084505,1.75175627118585,6,0.0
40.75340655347738,-73.93499534537,23.0,6.578556526327422,1,3.0,4.0,1.0,364,30,365,1885,0,1,1,0,1,1,1,0,0,1,0,0,4488,1386.2627873819283,382.8981464979505,1,1,1,0,1,0,1,0,0,0,1,2.305555555555556,2.158659793019569,2.054687110418205,-0.4253161859048402,1.5360234056212424e-15,5,297.0
40.67709,-73.94381,78.57919812357986,-0.6931471805599453,2,1.0,1.0,1.0,89,30,365,1305,0,1,1,0,3,1,1,1,0,0,0,0,4577,1134.0,755.0,0,1,1,0,0,0,1,0,0,0,1,2.056862745098039,2.158659793019569,-0.6266771001605067,-0.3556596581241197,1.1748122377988808,4,0.0
40.79576,-73.97157,37.0,2.917770732084279,1,3.0,0.0,1.0,157,30,500,19328,0,1,1,0,3,1,1,0,1,0,0,0,1329,545.0,95.0,0,1,1,0,0,0,1,0,0,0,1,3.109090909090909,-2.144140167936436,-0.439967328762741,-0.3786053843602129,-0.1184489388882495,4,70.0
40.71359,-73.9554,75.0,-0.6931471805599453,2,1.0,0.0,1.0,113,30,60,16511,0,1,1,0,3,1,1,1,0,0,0,0,3701,3563.0,85.0,0,0,1,0,1,1,1,1,0,0,1,2.80030959752322,-1.2994393290051578,-0.6266771001605067,0.7477507973860258,0.9018433547593772,6,200.0
40.75013944625673,-74.00272134762609,98.0,-0.6931471805599453,5,1.0,1.0,3.0,212,1,365,9998,0,1,1,0,3,1,1,0,1,0,0,0,1819,417.0,104.0,0,1,1,0,1,0,1,0,0,0,1,3.5669781931464173,-0.7971583902501923,-0.6235440229948086,1.7928928155202746,0.4159598016798291,5,300.0
40.76653,-73.95136,78.57919812357986,-0.6931471805599453,5,1.0,2.0,2.0,364,30,365,19072,0,1,1,0,3,1,1,0,1,0,0,0,3864,1045.0,688.0,0,1,0,0,1,1,1,1,0,0,1,2.829512893982808,2.2459279930644835,-0.6258474873149049,-0.7440688738089921,0.4957221590165177,6,0.0
40.68443,-73.9223,99.0,-0.6931471805599453,2,2.5,2.0,2.0,275,2,100,16947,1,1,1,0,3,1,1,1,0,0,0,0,3413,457.0,95.0,0,1,1,0,1,1,1,0,0,0,1,1.83495145631068,-0.8153798349683076,-0.6266771001605067,3.220335464193101,1.058409163407053,6,91.0
40.80365,-73.95949,50.0,-0.6931471805599453,2,1.0,0.0,1.0,260,30,364,10530,0,1,1,0,3,1,1,0,1,0,0,0,3303,1492.0,139.0,0,1,1,0,1,0,1,0,0,0,1,1.7234042553191489,-2.144140167936436,-0.5885241922055081,-0.6459104895657519,1.024673112385826,5,200.0
40.74744334862962,-73.87159042163067,100.0,-0.6931471805599453,4,1.0,2.0,4.0,159,30,30,296,0,1,1,0,3,1,1,0,0,1,0,0,347,150.0,150.0,0,1,0,0,1,1,1,0,0,0,1,1.2268041237113405,0.4132957921212885,-0.6266771001605067,-0.623947782799724,0.9589331989650948,5,100.0
