price,latitude,longitude,host_acceptance_rate,calculated_host_listings_count_private_rooms,accommodates,bathrooms,bedrooms,beds,availability_365,minimum_nights,maximum_nights,host_is_superhost,host_identity_verified,host_has_profile_pic,instant_bookable,room_type,phone,email,brooklyn,manhattan,queens,bronx,staten_island,host_since_days_since,first_review_days_since,last_review_days_since,no_review,air_conditioning,tv,streaming_services,refrigerator,microwave,wifi,parking,gym,water_view,kitchen,neighbourhood_price,availability_short,hlc_short,nor_short,rs_short,amenities_count,host_responsiveness
2,40.79632,-73.96369,73.0,-0.6931471805599453,2,1.0,0.0,1.0,246,30,180,0,1,1,0,3,1,1,0,1,0,0,0,1406,1245.0,322.0,0,0,1,0,0,1,1,1,0,0,1,3.020408163265306,-2.1421350841838223,-0.5188064433514767,-0.6618554275186785,-1.3536348124906743,5,200.0
1,40.79864984756488,-73.95193128913176,35.0,1.5040773967762742,2,1.5,1.0,1.0,269,30,365,0,1,1,0,1,1,1,0,1,0,0,0,605,1385.667299530936,382.2577618941255,1,0,1,0,1,1,1,1,0,0,1,1.9365351629502567,2.165380637818876,-0.6023876466740967,-0.4147485260733696,3.2833993185588554e-16,6,0.0
3,40.71997,-73.9951,66.0,-0.6931471805599453,4,1.0,3.0,3.0,357,30,365,0,1,1,0,3,1,1,0,1,0,0,0,3306,327.0,178.0,0,0,1,0,1,0,1,0,0,0,1,3.927536231884058,1.9144038268889807,-0.6112746088705003,-0.637692133927088,1.4092122660629909,4,300.0
3,40.68359551419599,-73.82986280227888,100.0,0.4054651081081644,2,1.0,1.0,2.0,343,1,30,1,0,1,1,1,1,1,0,0,1,0,0,935,893.0,85.0,0,0,0,0,1,1,1,1,0,0,1,1.127659574468085,0.42131856981564,-0.628690459723051,3.9075527934467846,0.909460063644198,5,300.0
2,40.76216,-73.99293,25.0,-0.6931471805599453,2,1.0,0.0,2.0,216,30,365,0,1,1,0,3,1,1,0,1,0,0,0,3128,2989.0,1801.0,0,1,0,0,1,1,1,0,0,0,1,3.134851138353765,-2.1421350841838223,-0.6176511597706563,-0.4911641206699112,1.214518892179383,5,100.0
1,40.75909,-73.87839,96.0,-0.6931471805599453,2,1.0,1.0,3.0,240,1,20,1,1,1,0,3,1,1,0,0,1,0,0,3828,2388.0,86.0,0,0,0,1,1,1,1,1,0,0,0,1.8888888888888888,-1.9974560896021831,-0.6257030118128561,3.275572604176068,1.0238093053262471,5,300.0
5,40.7350726,-74.0008452,88.0,-0.6931471805599453,4,2.5,2.0,2.0,249,30,365,1,1,1,0,3,1,0,0,1,0,0,0,3793,1385.667299530936,382.2577618941255,1,1,1,0,1,1,1,0,0,0,1,4.082644628099174,-1.4607556850422974,-0.1011723482661423,-0.4147485260733696,3.2833993185588554e-16,6,297.0
0,40.65832,-73.94889,23.0,6.578556526327422,1,2.0,1.0,1.0,277,30,365,0,1,1,0,1,1,1,1,0,0,0,0,4488,1385.667299530936,382.2577618941255,1,1,1,0,1,0,1,0,0,0,1,1.792,-2.107913943912166,2.067357328819857,-0.4147485260733696,3.2833993185588554e-16,5,297.0
4,40.75557,-73.99411,92.0,0.4054651081081644,1,1.0,1.0,1.0,90,30,150,1,1,1,1,3,1,1,0,1,0,0,0,4671,4627.0,491.0,0,1,1,0,1,0,1,0,0,0,1,3.134851138353765,-2.1421350841838223,-0.6210574329663621,-0.3182069354915271,1.02411915272531,5,285.0
2,40.66106,-73.92277,50.0,-0.6931471805599453,6,1.0,2.0,2.0,179,30,1124,0,1,1,0,3,1,1,1,0,0,0,0,3047,1925.0,402.0,0,0,0,1,1,1,1,1,0,0,1,1.515,2.165380637818876,-0.6257030118128561,0.4320784489064215,-1.435521790765217,6,142.0
3,40.72936,-73.98737,98.0,-0.6931471805599453,3,1.5,2.0,2.0,258,30,365,0,1,1,1,3,1,1,0,1,0,0,0,3400,932.0,106.0,0,1,1,0,0,0,1,0,0,0,1,3.291512915129151,-2.1421350841838223,-0.5077477258640295,-0.4816186838802787,-11.58812372341784,4,300.0
0,40.689041063197415,-73.94297098025326,23.0,6.578556526327422,1,1.0,4.0,1.0,338,30,365,0,1,1,0,1,1,1,1,0,0,0,0,4488,1385.667299530936,382.2577618941255,1,0,1,0,1,0,1,0,0,0,1,1.8409785932721712,-0.1062406217715059,2.067357328819857,-0.4147485260733696,3.2833993185588554e-16,4,297.0
3,40.64981,-74.00384,100.0,-0.6931471805599453,7,1.0,3.0,5.0,334,30,90,1,1,1,0,3,1,1,1,0,0,0,0,4115,842.0,469.0,0,1,0,0,1,1,0,0,0,1,1,1.768421052631579,0.0431784059156031,-0.6193264609127003,-0.658622996684414,0.7317893653622181,5,300.0
